年度标识	省份名称	地区生产总值	地区生产总值－房地产业	第一产业占GDP比重(%)	第二产业占GDP比重(%)	第三产业占GDP比重(%)	人均地区生产总值
2015	广东省	72812.5500	5117.9500	4.5947	44.7911	50.6142	67503.0000
2015	河北省	29806.1100	1313.6200	11.5394	48.2682	40.1924	40255.0000
2015	山西省	12766.4900	639.0700	6.1345	40.6868	53.1788	34918.7100
2015	甘肃省	6790.3169	244.8206	14.0507	36.7401	49.2092	26165.2608
2015	青海省	2417.0500	53.5900	8.6440	49.9497	41.4063	41252.0000
2015	四川省	30053.1000	1252.2000	12.2360	44.0822	43.6817	36775.0000
2015	浙江省	42886.4900	2351.4200	4.2739	45.9624	49.7637	77643.6861
2015	江西省	16723.7800	548.2600	10.6016	50.2971	39.1014	36724.0000
2015	重庆市	15717.2700	847.7200	7.3177	44.9784	47.7039	52321.0000
2015	广西壮族自治区	16803.1200	657.3000	15.2677	45.9291	38.8032	35190.0000
2015	天津市	16538.1900	618.2500	1.2627	46.5844	52.1529	107960.0883
2015	山东省	63002.3325	2592.6672	7.9030	46.8013	45.2957	64168.3001
2015	福建省	25979.8200	1077.8800	8.1529	50.2883	41.5588	67965.5199
2015	海南省	3702.7600	299.6900	23.0833	23.6532	53.2635	40818.0000
2015	湖南省	28902.2139	751.8100	11.5272	44.3247	44.1481	42753.8600
2015	安徽省	22005.6300	870.0700	11.1639	49.7456	39.0905	35996.5641
2015	新疆维吾尔自治区	9324.8000	285.3800	16.7197	38.5681	44.7122	40036.0000
2015	黑龙江省	15083.6700	597.2200	17.4593	31.8098	50.7310	39461.5644
2015	宁夏回族自治区	2911.7700	97.0500	8.1655	47.3801	44.4544	43805.0000
2015	西藏自治区	1026.3911	29.3300	9.5519	36.6514	53.7967	31999.0000
2015	湖北省	29550.1881	1136.7183	11.2007	45.6970	43.1022	50653.8500
2014	中国	641280.6000	38000.8000	8.7000	43.3000	48.0000	47005.0000
2014	重庆市	14262.6000	817.0400	7.4392	45.7775	46.7833	47850.0000
2014	北京市	21330.8300	1329.2000	.7454	21.3063	77.9484	99995.0000
2014	天津市	15726.9300	550.8600	1.2711	49.1631	49.5658	105231.3467
2014	内蒙古自治区	17770.1888	442.9471	9.1606	51.3207	39.5187	71046.3688
2014	云南省	12814.5900	275.9700	15.5297	41.2172	43.2530	27263.6349
2014	上海市	23567.6953	1530.9600	.5272	34.6564	64.8164	97370.0000
2014	河南省	34938.2400	1541.7600	11.9068	50.9944	37.0988	37071.7173
2014	广西壮族自治区	15672.8933	593.0100	15.3988	46.7365	37.8647	33089.6090
2014	浙江省	40173.0300	2166.8600	4.4238	47.7312	47.8450	73002.0534
2014	江西省	15714.6300	522.8100	10.7143	52.4857	36.8000	34674.0000
2014	陕西省	17689.9400	579.4400	8.8465	54.1395	37.0140	46929.0000
2014	新疆维吾尔自治区	9273.4600	281.5600	16.5914	42.5835	40.8251	40648.0000
2014	四川省	28536.6600	1064.7400	12.3737	48.9280	38.6983	35128.0000
2014	福建省	24055.7600	1090.2200	8.3755	52.0265	39.5980	63472.0000
2014	海南省	3500.7200	295.5600	23.1244	25.0226	51.8530	38923.7000
2014	青海省	2303.3200	48.9600	9.3747	53.5883	37.0370	39671.0000
2014	江苏省	65088.3200	3564.4400	5.5837	47.4041	47.0123	81874.0000
2014	山西省	12761.4900	598.0700	6.1818	49.3196	44.4986	35070.0000
2014	山东省	59426.5902	2526.1593	8.0744	48.4431	43.4824	60879.1048
2014	宁夏回族自治区	2752.1000	114.2800	7.8845	48.7351	43.3803	41834.0000
2014	湖南省	27037.3212	673.3754	11.6459	46.1661	42.1880	40270.5443
2014	河北省	29421.1500	1119.7800	11.7176	51.0274	37.2550	39984.0000
2014	甘肃省	6836.8208	234.1419	13.1751	42.8043	44.0207	26432.9157
2014	黑龙江省	15039.3764	581.2800	17.3635	36.8659	45.7706	39226.3339
2014	湖北省	27379.2176	1062.7121	11.6033	46.9422	41.4545	47144.6000
2014	辽宁省	28626.5800	1145.7000	7.9847	50.2492	41.7660	65201.1844
2014	西藏自治区	920.8326	28.8012	9.9520	36.5801	53.4674	29252.0000
2014	安徽省	20848.7476	807.3292	11.4750	53.1335	35.3915	34424.6122
2014	贵州省	9266.3900	220.4800	13.8182	41.6283	44.5535	26437.0000
2014	广东省	67809.8500	4486.9200	4.6701	46.3351	48.9948	63469.0000
2014	吉林省	13803.1400	432.8500	11.0410	52.7894	36.1696	50160.0000
2013	中国	592963.2000	35987.6000	8.9000	44.2000	46.9000	43684.0000
2013	天津市	14442.0100	519.3700	1.3000	50.6000	48.1000	100105.4288
2013	河南省	32191.2999	1165.0700	12.6000	55.4000	32.0000	34211.4883
2013	四川省	26392.0700	762.7700	13.0000	51.7000	35.2000	32617.0000
2013	重庆市	12783.2600	728.8300	8.0000	50.5000	41.4000	43223.0000
2013	广西壮族自治区	14449.9040	520.5100	16.3000	47.7000	36.0000	30741.2063
2013	福建省	21868.4900	1216.7600	8.9000	52.0000	39.1000	58145.0000
2013	山东省	55230.3249	2237.4600	8.7000	50.1000	41.2000	56884.9371
2013	江苏省	59753.3700	3436.6500	6.2000	49.2000	44.7000	75354.0000
2013	海南省	3177.5600	288.5400	24.0000	27.7000	48.3000	35663.0000
2013	陕西省	16205.4500	507.7200	9.5000	55.5000	34.9000	43117.0000
2013	新疆维吾尔自治区	8443.8400	232.4400	17.6000	45.0000	37.4000	37552.5452
2013	江西省	14410.1900	500.5700	11.4000	53.5000	35.1000	31930.0000
2013	浙江省	37756.5800	2190.0300	4.8000	49.1000	46.1000	68804.7198
2013	湖南省	24621.6700	636.2600	12.6000	47.0000	40.3000	36943.0000
2013	黑龙江省	14454.9056	553.1100	17.5000	41.1000	41.4000	37696.9665
2013	宁夏回族自治区	2577.5700	101.8400	8.7000	49.3000	42.0000	39613.0000
2013	湖北省	24791.8300	797.1900	12.6000	49.3000	38.1000	42825.7600
2013	山西省	12665.2500	329.8000	6.1000	53.9000	40.0000	34983.8343
2013	甘肃省	6330.6923	158.4000	14.0000	45.0000	41.0000	24538.8511
2013	青海省	2122.0600	34.2100	9.9000	57.3000	32.8000	36875.0000
2013	河北省	28442.9500	1041.2800	12.4000	52.2000	35.5000	38909.0000
2013	云南省	11832.3100	262.8400	16.2000	42.0000	41.8000	25322.0000
